Project,IssueID,URL,Title,Status,CreatedAt,BugType ,StackLayer,CTClass,subtype,DUB,reason Bug,reason Stack,reason Class
NVIDIA/cuda-quantum,1813,https://github.com/NVIDIA/cuda-quantum/issues/1813,DepolarizationChannel not completely depolarizing,closed,2024-06-13T16:47:35Z,Performance-/Numerik-Bug,Backend-Library,C,,,"Depolarisierender Kanal mit Fehlerwahrscheinlichkeit 1 erzeugt <Z>-Erwartungswerte, die vom Rotationswinkel abh�ngen statt 0 zu sein.","Fehler liegt in der Implementierung von DepolarizationChannel bzw. density-matrix-cpu, nicht in der High-Level-API.",Falsche Kanal-Semantik ist ein reiner Implementierungs-/Numerik-Bug im Simulator und l�sst sich nicht durch Typ-/Contract-Checks am User-Code verhindern.
NVIDIA/cuda-quantum,1809,https://github.com/NVIDIA/cuda-quantum/issues/1809,Kernels do not take as input a list[list[int]] type object,open,2024-06-13T15:57:42Z,API-/Usage-/Logic-Bug (High-Level) ,High-Level-API / Framework-Logic ,A,,2627,DOUBLE,DOUBLE,DOUBLE
NVIDIA/cuda-quantum,1804,https://github.com/NVIDIA/cuda-quantum/issues/1804,[python] Combining `cudaq` module with `multiprocesssing` module can result in deadlock,closed,2024-06-12T14:30:28Z,Config-/Environment-Bug,Runtime-/Framework-Runtime ,C,,,Verwendung des default-Startverfahrens fork mit einem multithreaded CUDA-Q-Prozess f�hrt zu Deadlock.,"Problem entsteht in der Laufzeitinteraktion von Python-Process-Startmethode und CUDA-Q-Runtime, nicht im Build oder Kernel-Code.","Fork-vs-Spawn-Probleme bei Multithreading sind typische Runtime-/Systemeffekte, die nicht sinnvoll durch statische Analyse des User-Programms verhindert werden k�nnen."
NVIDIA/cuda-quantum,1799,https://github.com/NVIDIA/cuda-quantum/issues/1799,Incorrect circuit compilation when using some nested loops,closed,2024-06-11T11:24:06Z,API-/Usage-/Logic-Bug (High-Level),Backend-Library,C,,,"Decorator-Pfad kompiliert verschachtelte Schleifen mit for k in range(j+1, N) zu einem logisch falschen Circuit.","Ursache ist ein LLVM/MLIR-Codegen-/Loop-Normalization-Bug im Compiler-Pipeline, nicht im Python-Frontend oder in der Umgebung.","(nicht sinnvoll compile-time vermeidbar)"": Miscompilation durch Upstream-Loop-P�sse l�sst sich praktisch nur durch Fixes/Mitigations im Compiler beheben, nicht durch zus�tzliche Typ-/Contract-Checks am User-Code."
NVIDIA/cuda-quantum,1784,https://github.com/NVIDIA/cuda-quantum/issues/1784,Quake.ExpPauliOp is incomplete,open,2024-06-10T15:34:46Z,API-/Usage-/Logic-Bug (High-Level),High-Level-API / Framework-Logic ,C,,,Die Klasse ExpPauliOp verhält sich bei Copy/Move/Assignment nicht wie eine saubere Value-Type-API – das ist ein objekt-/API-semantischer Bug. ,"ExpPauliOp ist Teil der High-Level-Operator-API; betroffen ist deren Implementierung, nicht Backend oder Umgebung. ","Fehlerhafte Value-Semantik in einer Library-Klasse wird nicht durch Analyse des Usercodes verhindert, sondern nur durch Korrektur der Klassenimplementierung. "
NVIDIA/cuda-quantum,1749,https://github.com/NVIDIA/cuda-quantum/issues/1749,`do { ... } while (false)` causes infinite loop when `--enable-mlir` is set,closed,2024-06-03T16:04:49Z,API-/Usage-/Logic-Bug (High-Level) ,Backend-Library ,C ,,,Using the common macro pattern do { ... } while (0) inside a __qpu__ kernel causes programs compiled with nvq++ --enable-mlir to hang at runtime,"Issue seems to be in the MLIR-based compilation / backend path of CUDA-Q. the kernel is valid C++ code, but only the MLIR-enabled pipeline produces IR that leads to an apparent infinite loop during execution ",Whether this specific do { ... } while (0) pattern is lowered correctly depends on internal MLIR control-flow handling. Generic frontend type checker on code would not catch this
NVIDIA/cuda-quantum,1726,https://github.com/NVIDIA/cuda-quantum/issues/1726,Cannot call C++ __qpu__ function from within another kernel if parameters contain vector of cudaq::measure_results,closed,2024-05-29T16:53:45Z,API-/Usage-/Logic-Bug (High-Level),Framework-Integration,B ,B2,,"G�ltiger C++ Code (xor_result mit measure_result-Vektor), aber MLIR-Inlining-Pass sagt f�lschlicherweise ""Rekursion"" vor.",Problem liegt im aggressive-early-inlining-Pass + Typ-IR-Mapping zwischen C++ und MLIR.,Ein Call-Graph-Analyzer k�nnte echte vs. falsch erkannte Rekursion unterscheiden; aber ben�tigt fortgeschrittene Datenfluss-Analyse.
NVIDIA/cuda-quantum,1703,https://github.com/NVIDIA/cuda-quantum/issues/1703,Segfault during circuit simulation with 2^19 controlled rotation gates,closed,2024-05-22T16:18:59Z,Performance-/Numerik-Bug,Runtime-/Framework-Laufzeit,C,,," Das Problem tritt erst bei sehr vielen cr1/crx-Gates (Schleife mit 2**19 Iterationen) auf und �u�ert sich als Segfault �ber mehrere Targets hinweg - typisch f�r einen Ressourcen-/Performance-Bug (z.B. Stack-/Heap-Exhaustion, zu gro�e IR, o.�.), nicht f�r reine API- oder Config-Themen.","Da das Verhalten target�bergreifend und an MLIR-Enablement gebunden ist, deutet es auf einen Fehler im generischen Runtime-/JIT-/IR-Handling hin (z.B. Scheduling, Speicherverwaltung), nicht in einer speziellen Backend-Library.","Ob eine bestimmte Circuit-Gr��e zum Segfault f�hrt, h�ngt von internen Datenstrukturen, JIT-Strategien und Ressourcenlimits ab; das ist praktisch nicht rein statisch absicherbar, sondern eine Implementierungs-/Runtimefrage."
NVIDIA/cuda-quantum,1682,https://github.com/NVIDIA/cuda-quantum/issues/1682,break within two loops is not handled right.,closed,2024-05-15T12:45:44Z,API-/Usage-/Logic-Bug (High-Level),High-Level-API / Framework-Logic ,C,,,"Der User verwendet g�ltige Sprachkonstrukte (while-Schleife, Messung, if res: break); der Compiler produziert aber eine fehlerhafte IR (Arity-Mismatch von cc.unwind_break) - das ist ein Frontend-/Controlflow-Lowering-Bug.","betroffen ist die Logik, die Python-Kernel mit klassischer Kontrolle und Quantum-Messung in eine konsistente IR �bersetzt; Backend und Env sind sekund�r.","Hier ist die Implementierung des Control-Flow-Lowerings kaputt; zus�tzliche statische Checks am Usercode w�rden den Bug nicht vermeiden (der Compiler sollte diesen Pattern gerade unterst�tzen), es braucht robustere Pass-Implementierung/Verification."
NVIDIA/cuda-quantum,1670,https://github.com/NVIDIA/cuda-quantum/issues/1670,[c++] qvector initialization from vector of doubles fails for f32 simulator,closed,2024-05-13T20:07:46Z,API-/Usage-/Logic-Bug (High-Level),High-Level-API / Framework-Logic ,A,,,"Semantisch korrekter User-Code (double-Vektor als init state), aber die API/Kernel-Logik akzeptiert keine Typkonvertierung (FP64?FP32) automatisch, obwohl das Codebook vorsieht.","Problem liegt in der Qvector-Constructor-Semantik und deren Fehlerbehandlung, nicht in Backend-Library oder Umgebung.",Statische Typpr�fung k�nnte Precision-Mismatch direkt beim Constructor-Aufruf erkennen; bessere Overloads oder Typconstraints w�rden den Fehler zur Compile-Time abfangen.
NVIDIA/cuda-quantum,1663,https://github.com/NVIDIA/cuda-quantum/issues/1663,Python version on Quantum Cloud does not allow exponentiation operator,closed,2024-05-11T03:30:04Z,Backend-/Framework-Integrations-Bug,"Framework-Integration""",B ,B1,,"Der Code l�uft lokal, aber auf dem Remote-Target scheitert das Legalizing von math.ipowi; das ist ein Problem in der Integration von Python/IR-Lowering mit den Passes/Constraints des Cloud-Backends.","Betroffen ist die Schicht, die Python-Kernel + IR-Pass-Pipeline mit dem Remote-Backend (nvqc) verbindet; mehrere Targets teilen sich dieselbe Frontend-/Pass-Logik."," Man k�nnte sich eine (dom�nenspezifische) statische Kompatibilit�tsanalyse vorstellen, die vorab pr�ft, ob alle verwendeten Ops (** ? ipowi) f�r einen gegebenen Target-/Pass-Pipeline-Satz legalisierbar sind, und andernfalls fr�hzeitig eine klare Compile-Time-Fehlermeldung liefert; das ist fortgeschritten, aber konzeptionell m�glich."
NVIDIA/cuda-quantum,1662,https://github.com/NVIDIA/cuda-quantum/issues/1662,Subtraction of variables gives unhandled BinOp.Sub error within a python kernel,closed,2024-05-10T21:46:43Z,API-/Usage-/Logic-Bug (High-Level),High-Level-API / Framework-Logic ,C,,,"Ein syntaktisch v�llig harmloser Ausdruck im Python-Kernel schl�gt fehl, w�hrend eine �quivalente umgeschriebene Form funktioniert - das spricht f�r eine unvollst�ndige/fehlerhafte High-Level-Lowering-/AST-Bridging-Logik."," Der Fehler entsteht beim �bersetzen des Python-AST in die interne IR (Kernel-Front-End), nicht im Backend oder in der Umgebung."," Ob ein bestimmtes AST-Muster im Compiler unterst�tzt wird, ist eine Implementierungsfrage; das l�sst sich nicht durch zus�tzliche Analyse des Usercodes verhindern, sondern nur durch robustere Implementierung/Tests des Frontends."
NVIDIA/cuda-quantum,1620,https://github.com/NVIDIA/cuda-quantum/issues/1620,[Python Kernel] `bool` to `int` type casting issue,closed,2024-05-07T03:41:09Z,API-/Usage-/Logic-Bug (High-Level) ,Backend-Library ,B ,B2,,"A measurement result bit = mz(aux) is lowered to IR that sign-extends the i1 value to i64 (sext i1 %7 to i64) and then compares it to 1. Since true becomes -1 under signed extension, the icmp eq i64 %8, 1 condition is never satisfied, so the if bit == 1: branch is logically wrong","The defect is in the kernel codegen. The high-level kernel code is valid, but the generated IR compearision ins obviously incorrect. ",A specialised IR validator or formal check over the codegen pipeline could detect inconsistent patterns like sext i1 followed by comparison with 1 for a logical boolean. and enforce zero-extension or correct comparison 
NVIDIA/cuda-quantum,1618,https://github.com/NVIDIA/cuda-quantum/issues/1618,`MidCircuitMeasurementAnalyzer` doesn't handle all cases of measurement assigned variables ,closed,2024-05-07T01:02:31Z,API-/Usage-/Logic-Bug (High-Level),High-Level-API / Framework-Logic ,C,,,Bestimmte Formen von Bedingungen werden im Analyse-Helper nicht korrekt behandelt - ein Logik-/Oversight-Bug im High-Level-Analysetool.,"Es betrifft die interne Analyse-/Frontend-Logik (AST/IR-Bridging), nicht Build, Backend oder Runtime.","Die L�cke steckt in der Hilfsfunktion selbst; Usercode-Analyse kann das nicht verhindern, solange der Helper unvollst�ndig implementiert ist."
NVIDIA/cuda-quantum,1571,https://github.com/NVIDIA/cuda-quantum/issues/1571,make check-targets doesn't have all dependencies in the CMakeLists.txt files,open,2024-04-25T23:00:55Z,Build-/Install-/Packaging-Bug,Build/Deploy/Environment,B ,B1,,"Die Build-/Install-Logik aktualisiert Runtime-Libraries beim Branch-Wechsel nicht korrekt, was zu Link-/Laufzeitfehlern f�hrt.","Das Problem tritt in der Build-/CI-/Installumgebung auf, bevor irgendetwas simuliert oder kompiliert wird.","Ein pr�ziser modellierter Build-Graph bzw. Tooling, das abh�ngige Targets bei Branch-Wechsel erzwingt neu baut, k�nnte solche Fehler erkennen - das ist aber eine komplexere Build-/Analyseaufgabe."
NVIDIA/cuda-quantum,1566,https://github.com/NVIDIA/cuda-quantum/issues/1566,Cannot pass a list of Pauli words to `observe_async`,closed,2024-04-25T14:24:56Z,API-/Usage-/Logic-Bug (High-Level),High-Level-API / Framework-Logic ,C,,,"Synchrones observe akzeptiert eine Liste von Pauli-Strings, observe_async dagegen nicht - das ist eine inkonsistente API-/Contract-Logik.","Der Fehler liegt in den Python-Bindings bzw. der High-Level-API (Overloads/Conversions), nicht in Simulation, Build oder Umgebung.","Das ist eine L�cke in der Implementierung des Async-Overloads; zus�tzliche Analyse des Usercodes verhindert das nicht, es braucht einen Bibliotheksfix."
NVIDIA/cuda-quantum,1539,https://github.com/NVIDIA/cuda-quantum/issues/1539,ChemistryTester bug when nvidia target is available,closed,2024-04-18T12:37:56Z,Backend-/Framework-Integrations-Bug,Framework-Integration,C,,,"Die Python/PySCF-Bindings initialisieren CUDA-Q und setzen den Default-Target auf nvidia, w�hrend der Tester auf QPP FP64 verlinkt ist - Integrations-/Target-Auswahlkonflikt.","Das Problem liegt in der Interaktion zwischen Python-Hilfsbibliothek, Target-Management und C++-Tester (Mischung verschiedener Backends in einer Pipeline).","Globale Target-Umschaltungen und Pr�zisions-Mismatches durch solche Integrationspfade sind Laufzeit-/Konfigurationsdetails, die man nicht realistisch durch statische Analyse des Quantum-Usercodes absichern kann."
NVIDIA/cuda-quantum,1529,https://github.com/NVIDIA/cuda-quantum/issues/1529,Calling kernel functions with list parameters gives incorrect results,closed,2024-04-17T17:05:02Z,API-/Usage-/Logic-Bug (High-Level),High-Level-API / Framework-Logic ,C,,,"Der Kernel test_param(i: int, v1: list[int]) -> int sollte jeweils i zur�ckgeben, gibt aber viermal 42 - das ist ein Logik-/Binding-Bug in der Python-Kernel-Call-Implementierung.","Der Fehler steckt in der Art, wie Python-Call-Sites/Argumente in IR/Runtime abgebildet werden, also in der High-Level-Sprach-/Framework-Schicht.","Falsches Capturing/Zuweisen von Argumenten ist ein internes Binding-/Runtime-Problem, das nicht durch zus�tzliche Typ- oder CT-Analysen des Usercodes verhindert werden kann."
NVIDIA/cuda-quantum,1498,https://github.com/NVIDIA/cuda-quantum/issues/1498,Output discrepancy when args of mz are in a list vs when comma separated ,closed,2024-04-11T06:39:51Z,API-/Usage-/Logic-Bug (High-Level),High-Level-API / Framework-Logic ,C,,,"Die Mess-API verh�lt sich inkonsistent: als Liste �bergebene Qubits liefern korrekte Bitl�nge, kommagetrennte Argumente nicht - das ist ein klarer API-/Semantik-Bug.","Es geht um die Python-Frontend-/Measurement-API und deren Ergebnisformat, nicht um das Backend.",Die fehlerhafte Argumentbehandlung ist ein Library-Implementierungsproblem; CT-Analysen des Usercodes w�rden daran nichts �ndern.
NVIDIA/cuda-quantum,1469,https://github.com/NVIDIA/cuda-quantum/issues/1469,Cannot run Python range-based for loops through the synthesizer (affects NVQC),closed,2024-04-02T23:58:05Z,API-/Usage-/Logic-Bug (High-Level),High-Level-API / Framework-Logic ,C,,,"Standard-Python-Pattern (for i in range(len(parms)): parms[i]) f�hrt zu einem internen IR-/Passfehler, w�hrend die Variante for i in parms funktioniert - das ist ein Frontend-/IR-Generierungsbug.","Das Problem entsteht in der Python-Kernel-MLIR-Erzeugung und dem anschlie�enden Lowering, nicht im Simulator oder Build.","Die fehlerhafte Behandlung von Constant-Arrays und cc.get_const_element in LowerToQIR ist eine interne Pass-Schw�che, die man nicht durch Analyse des Usercodes kompensieren kann."
NVIDIA/cuda-quantum,1464,https://github.com/NVIDIA/cuda-quantum/issues/1464,`cnot` operation is not compiled properly in MLIR mode,closed,2024-04-02T02:46:37Z,API-/Usage-/Logic-Bug (High-Level),High-Level-API / Framework-Logic ,C,,,"Der Shorthand cnot verletzt seine Semantik, wenn MLIR aktiviert ist, weil er in zwei Einzel-X-Gates statt eine kontrollierte Operation �bersetzt wird - klarer Semantik-/Compiler-Logik-Bug.","Die falsche �bersetzung passiert im Frontend-/MLIR-Lowering des Kernelcodes, bevor ein konkretes Backend ins Spiel kommt.","Ein falsch implementiertes Lowering des Operators ist nur durch Fix/Verification des Compilers behebbar, nicht durch zus�tzliche Checks am Userkernel."
NVIDIA/cuda-quantum,1432,https://github.com/NVIDIA/cuda-quantum/issues/1432,Handle references to constant data in `GenerateDeviceCodeLoader`,closed,2024-03-22T02:29:15Z,API-/Usage-/Logic-Bug (High-Level),Framework-Integration,C,,,Die Design-/Implementierungslogik der Modul-Exzision verl�sst sich nur auf den Callgraph und �bersieht konstant referenzierte Daten - das ist ein konzeptioneller Logikfehler in der Compiler-Pipeline.,"Betroffen ist das Zusammenspiel von Kernel-Modul, Host-Code und Compiler-IR beim Heraustrennen des Kernel-Moduls, also die Integrations-/Compiler-Schicht.","Hier ist die Analyse selbst (Callgraph-Only) unzureichend; zus�tzliche CT-Checks am Usercode �ndern nichts, solange der Exzisions-Algorithmus konstante Daten grunds�tzlich nicht einbezieht."
NVIDIA/cuda-quantum,1431,https://github.com/NVIDIA/cuda-quantum/issues/1431,Endian representation bug in `QppCircuitSimulator::observe`,open,2024-03-22T02:25:40Z,Backend-/Framework-Integrations-Bug,Backend-Library,C,,,Die Umstellung der qpp-Statevector-Endianness wurde in QppCircuitSimulator::observe nicht konsistent mit der Hamiltonian-Matrix-Erzeugung (spin_op::to_matrix) mitgezogen - Integrationsfehler zwischen zwei Backend-Komponenten.,"Der Bug sitzt vollst�ndig in der qpp-Backend-Implementierung (Statevector-Layout vs. Hamiltonian-Matrix), nicht im High-Level-Framework.","Ob Matrix und Statevector dieselbe Endianness verwenden, ist ein internes Backend-Detail, das nicht durch Analyse des Usercodes abgesichert werden kann."
NVIDIA/cuda-quantum,1421,https://github.com/NVIDIA/cuda-quantum/issues/1421,LLVM aarch64 relocation overflow,closed,2024-03-20T03:55:38Z,Performance-/Numerik-Bug,Runtime-/Framework-Runtime,C,,,"Bei speicherintensiven VQEs schl�gt tief im LLVM-JIT eine Relocation-Assertion fehl - typischer Ressourcen-/Numerik-/JIT-Bug, kein simpler API-Fehler.","Der Crash entsteht in der Ausf�hrungs-/JIT-Runtime (RuntimeDyldELF), also in der Laufzeit-Schicht �ber dem Backend.","Solche Gr��en-/Overflow-Probleme in JIT/Relocations sind praktisch nicht durch Typ- oder CT-Analysen des Usercodes vermeidbar, sondern erfordern robustere Runtime-Implementierung."
NVIDIA/cuda-quantum,1400,https://github.com/NVIDIA/cuda-quantum/issues/1400,Circuit drawer retains qubits from previously printed kernel(s),closed,2024-03-14T17:22:45Z,API-/Usage-/Logic-Bug (High-Level),High-Level-API / Framework-Logic ,C,,,Das Zeichnen desselben Kernels f�hrt durch stale Global-State zu immer l�ngeren Schaltbildern - klarer Logic-/State-Bug in der Draw-API.,"Betrifft die Visualisierungs-/Frontend-Schicht (cudaq.draw), ohne Beteiligung von Simulator oder Environment.","Ein falsch verwalteter globaler Zustand im Draw-Code ist nur durch Korrektur der Implementierung behebbar, nicht durch Analyse des Userkernels."
NVIDIA/cuda-quantum,1396,https://github.com/NVIDIA/cuda-quantum/issues/1396,Batched measurement outputs dont allign to expected results ,closed,2024-03-14T14:50:03Z,API-/Usage-/Logic-Bug (High-Level),High-Level-API / Framework-Logic ,C,,,Das Verhalten von cudaq.observe mit mehreren Hamiltonian-Terms ist inkonsistent zu der physikalisch erwarteten Semantik f�r unabh�ngige Qubits - Logik-/Semantik-Bug in der Observe-API.,"Das Problem steckt in der Art, wie die High-Level-Observe-Routine Ergebnisse f�r Listen von Termen aggregiert, nicht im Backend oder Build.","Der Fehler liegt in der internen Implementierung der Observe-Logik; zus�tzliche Compile-Time-Checks am Usercode k�nnten das nicht verhindern, es braucht einen Library-Fix."
NVIDIA/cuda-quantum,1374,https://github.com/NVIDIA/cuda-quantum/issues/1374,nvqpp_SampleAsync fails on machines with multiple GPUs,closed,2024-03-12T16:04:15Z,Backend-/Framework-Integrations-Bug ,Runtime-/Framework-Runtime ,C,,,"Der offizielle Async-Sample-CTest crasht mit Double-Free/Heap-Korruption bei Multi-GPU-/MQPU-Einsatz – das ist ein Integrations-/Runtime-Bug (MQPU, Allocator, Async-Scheduling), kein reiner Performance-Bug. ","Der Fehler tritt in der laufenden Test-Binary im Heap-/Runtime-Management auf, nicht im Build oder im High-Level-Frontend. ",Double-Free-/Heap-Korruptionsfehler im internen Runtime-/Allocator-Code sind klassische Implementierungsprobleme; sie lassen sich nicht durch Compile-Time-Analysen des Usercodes vermeiden. 
NVIDIA/cuda-quantum,1367,https://github.com/NVIDIA/cuda-quantum/issues/1367,Synthesizer produces error when mixing certain argument types,closed,2024-03-11T15:54:51Z,Performance-/Numerik-Bug ,Framework-Integration ,C,,,"Ein Syntheseprozess für einen Kernel führt zu std::bad_alloc, offenbar weil durch einen falschen Offset eine viel zu große Struktur interpretiert/alloziert wird – Ressourcen-/Index-/Numerik-Fehler. ","Der Fehler liegt im Zusammenspiel von Argument-Layout und Synthesizer-Logik (Host-Daten → IR/Runtime), also in der Compiler-/Synthesizer-Integrationsschicht. ",Ein falsch berechneter Offset im Synthesizer ist ein Implementierungsbug; das ist nicht sinnvoll durch statische Analyse der Userprogramme zu verhindern. 
NVIDIA/cuda-quantum,1257,https://github.com/NVIDIA/cuda-quantum/issues/1257,Duplicate quake code in `cudaq::get_quake_by_name` if inlining is disabled,closed,2024-02-20T01:48:47Z,API-/Usage-/Logic-Bug (High-Level) ,Framework-Integration ,C,,,"Ein Kernel, der einen anderen zweimal aufruft, sollte zu einer sauberen Modulstruktur führen; stattdessen wird die Callee-Funktion doppelt definiert – klarer Codegen-/Logik-Bug. ","Die doppelte Definition entsteht in der MLIR-/Quake-Codegenerierung, also in der Integration von __qpu__-Frontends mit der IR-/Compiler-Infrastruktur. ","Das ist ein interner Fehler des Codegenerators; zusätzliche Analyse des Usercodes ändert nichts, solange der Generator falsch implementiert ist. "
NVIDIA/cuda-quantum,1218,https://github.com/NVIDIA/cuda-quantum/issues/1218,Out of scope kernel ,closed,2024-02-13T09:40:16Z,API-/Usage-/Logic-Bug (High-Level) ,Runtime-/Framework-Runtime ,C,,,"Der User erzeugt einen Kernel in einer Funktion und returned ihn – völlig legitimes Pattern; dass genau diese Schreibweise auf nvidia-mqpu zu einem Segfault führt, deutet auf einen Bug in der Kernel-Lifetime-/Binding-Logik hin. ","Der Crash passiert in der Async-/MQPU-Runtime beim Ausführen, nicht beim Frontend-Lowering.",Objekt-Lifetimes und Speicherverwaltung im Runtime-/Binding-Code sind interne Implementierungsdetails; Compile-Time-Analysen des Usercodes helfen hier nicht.
NVIDIA/cuda-quantum,1215,https://github.com/NVIDIA/cuda-quantum/issues/1215,`cudaq::adjoint` not handling double adjoint.,closed,2024-02-12T22:28:33Z,API-/Usage-/Logic-Bug (High-Level) ,High-Level-API / Framework-Logic ,C,,,Eine Kombination von rz<adj> im Kernel und adjoint(foo) führt effektiv zu zwei Adjoint-Rotationen statt zur erwarteten Identität – das ist ein Semantik-/Contract-Bug der adjoint-Logik. ,"Es geht um die High-Level-Gate- und Metaoperation-Logik (Adjoint-Rewriting), nicht um Build, Backend oder Runtime-Env. ","Falsche adjoint-Semantik ist ein Implementierungs-/Designproblem der Library/Compiler-Logik, nicht etwas, das man durch Analyse des Usercodes zur Compile-Time verhindern könnte. "
NVIDIA/cuda-quantum,1175,https://github.com/NVIDIA/cuda-quantum/issues/1175,Tensornet target in Python not registered for async functions ,closed,2024-02-06T15:49:53Z,Backend-/Framework-Integrations-Bug ,Framework-Integration ,C,,,"When the target is set to tensornet, calling cudaq.sample_async(kernel, 10).get() segfaults in DefaultExecutionManager / runSampling, i.e., the async sampling path is not correctly wired up for the tensornet simulator target.",The failure occurs in the integration between the Python async API and the C++  layer that manages different targets. The kernel itself is fine,"This is a backend/runtime integration bug that only manifests when executing with the tensornet target and async sampling. Fits class C, because no static property of the kernel usage that compile-time analysis could flag in advance."
NVIDIA/cuda-quantum,1168,https://github.com/NVIDIA/cuda-quantum/issues/1168,JIT compilation fails when inlining is disabled,closed,2024-02-04T12:30:01Z,API-/Usage-/Logic-Bug (High-Level ,Framework-Integration ,C,,,"Ein legitimer Call von einem __qpu__-Kernel auf einen anderen funktioniert nur, wenn ein bestimmter Inlining-Pass aktiv ist; ohne den entsteht eine inkonsistente IR – Logikfehler in der Compiler-Pipeline. ","Der Bug sitzt in der MLIR-/Compiler-Pass-Pipeline (Call-Resolution, Modulstruktur), also im Zusammenspiel von Frontend und Compiler/Backend. ","Ob ein interner Pass die Ziel-Funktion richtig registriert, ist ein Implementierungsdetail des Compilers; das lässt sich nicht durch zusätzliche Checks am Userkernel absichern. "
NVIDIA/cuda-quantum,1159,https://github.com/NVIDIA/cuda-quantum/issues/1159,cmake dependences aren't quite right,open,2024-02-02T00:08:58Z,Build-/Install-/Packaging-Bug,Build/Deploy/Environment ,B ,B1,,"Executor linkt gegen RestClient, aber die CMake-/Third-Party-Konfiguration baut RestClient nicht – das ist ein klarer Build-/Link-/Packaging-Bug. ","Der Fehler tritt beim Bauen/Linken auf, bevor irgendein Kernel ausgeführt wird. ","Ein sauber modellierter Build-Graph/CMake-Check könnte schon beim Configure/Compile deterministisch feststellen, dass ein benötigtes Target fehlt; das ist eher Build-Analyse als Laufzeitproblem. "
NVIDIA/cuda-quantum,1136,https://github.com/NVIDIA/cuda-quantum/issues/1136,Tensornet backend scratch space allocator is prone to race condition,open,2024-01-25T01:56:05Z,Performance-/Numerik-Bug ,Backend-Library ,C,,,Die Scratch-Size-Heuristik nutzt cudaMemGetInfo und kann in Multi-Tenant- oder Multi-Prozess-Setups falsche freie Speicherwerte sehen – klassischer Ressourcen-/Numerik-/Heuristik-Bug. ,"Die Logik sitzt direkt im tensornet-Backend (Scratch-Allocator), nicht im allgemeinen Framework oder der User-API. ","Race-Conditions bei cudaMemGetInfo zwischen mehreren Prozessen sind ein Laufzeit-/Systemthema; man kann die Heuristik verbessern, aber nicht über Usercode-Analyse vermeiden. "
NVIDIA/cuda-quantum,1117,https://github.com/NVIDIA/cuda-quantum/issues/1117,Intermittent CI llvm-lit test failures for `remote-mqpu` ,closed,2024-01-22T09:41:08Z,Backend-/Framework-Integrations-Bug ,Runtime-/Framework-Runtime ,C,,,"Mehrere parallel laufende remote-mqpu-Tests kollidieren bei der Portwahl – das ist ein Koordinations-/Integrationsproblem der Remote-Runtime, keine reine falsche User-Config. ","Betroffen ist die Netzwerk-/Prozesslaufzeit des Remote-Targets (Socket-Binding, Daemon-Start), also die Runtime-Schicht. ","Port-Kollisionen durch parallel laufende Prozesse sind typische Runtime-/Env-Probleme; sie lassen sich nicht über statische Analyse der Quantum-Programme verhindern, sondern nur durch robustere Port-Management-Logik. "
NVIDIA/cuda-quantum,1108,https://github.com/NVIDIA/cuda-quantum/issues/1108,sample_async race condition,closed,2024-01-18T17:35:49Z,Performance-/Numerik-Bug ,Runtime-/Framework-Runtime ,C,,,"Ein sehr kleiner GHZ-Circuit löst auf nvidia-mqpu einen custatevec out of memory-Fehler aus – das ist eindeutig ein Ressourcen-/Speichermanagementproblem, kein API- oder Config-Fehler des Users. ","Der Fehler entsteht im Zusammenspiel von MQPU-Runtime, sample_async und custatevec zur Laufzeit, also in der Ausführungs-/Runtime-Schicht. ","Wie die MQPU-Runtime intern Speicher allokiert, ist ein Implementierungsdetail; das lässt sich nicht sinnvoll durch Compile-Time-Analysen des Usercodes vermeiden. "
NVIDIA/cuda-quantum,1087,https://github.com/NVIDIA/cuda-quantum/issues/1087,Sporadic test failure in REST platform `get_state_async` test,open,2024-01-12T04:08:39Z,Backend-/Framework-Integrations-Bug ,Runtime-/Framework-Runtime ,C,,,"Das Zusammenspiel von REST-Server, Remote-MQPU-Backend und Tests führt zu Hängern bei get_state_async – klares Integrations-/Orchestrierungsproblem. ","Asynchronität, Scheduling, Timeouts und Prozessinteraktion → eindeutig Runtime-/Framework-Schicht. ","Solche Deadlocks/Hänger sind nur durch bessere Runtime-Implementierung/Monitoring lösbar, nicht durch Compile-Time-Analyse der Quantum-Programme. "
NVIDIA/cuda-quantum,1046,https://github.com/NVIDIA/cuda-quantum/issues/1046,Upgrade pybind11 to the latest version,closed,2023-12-19T17:13:40Z,Backend-/Framework-Integrations-Bug ,Runtime-/Framework-Runtime ,C,,,Bestimmte pybind11-Versionen interagieren nicht korrekt mit dem CUDA-Q-Python-Frontend – Integrations-/ABI-/Bindingproblem. ,"Der Effekt tritt in laufenden Tests im Python-Binding-/Call-Layer auf, nicht beim Bauen der Binaries. ",Kompatibilität von Bindings und Binary-Layout ist ein Runtime-/Implementierungsthema; Usercode-Analyse hilft hier nicht.
